genre,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,valence,tempo
classical,5,1,3,0.977,0.172,0.105,0.871,0.0987,-20.553,0.103,176.597
classical,3,1,4,0.967,0.0618,0.0291,0.926,0.102,-29.252,0.0411,64.018
classical,7,0,4,0.99,0.174,0.2,0.952,0.176,-14.482,0.0398,95.555
classical,2,1,4,0.96,0.317,0.165,0.928,0.072,-15.964,0.264,145.023
classical,7,0,4,0.99,0.174,0.2,0.952,0.176,-14.482,0.0398,95.555
classical,2,1,3,0.976,0.0834,0.0296,0.367,0.0705,-23.829,0.0638,71.517
classical,7,0,4,0.99,0.174,0.2,0.952,0.176,-14.482,0.0398,95.555
classical,2,1,3,0.976,0.0834,0.0296,0.367,0.0705,-23.829,0.0638,71.517
classical,7,1,4,0.974,0.425,0.274,0.945,0.101,-13.4,0.393,138.197
classical,8,1,3,0.994,0.366,0.0182,0.92,0.111,-24.439,0.165,59.892
classical,9,1,4,0.974,0.528,0.188,0.959,0.143,-16.671,0.868,126.705
classical,7,1,4,0.996,0.37,0.0834,0.905,0.0909,-27.061,0.394,113.717
classical,6,0,4,0.991,0.219,0.0128,0.931,0.0956,-30.068,0.0542,78.12
classical,10,1,3,0.99,0.0997,0.0272,0.944,0.125,-26.104,0.14,78.405
classical,2,1,4,0.966,0.396,0.126,0.889,0.0949,-17.697,0.192,73.426
classical,3,1,4,0.995,0.378,0.0172,0.864,0.0795,-32.928,0.302,79.137
classical,5,1,4,0.995,0.531,0.0636,0.945,0.0926,-21.87,0.301,72.949
classical,0,1,4,0.973,0.352,0.0832,0.681,0.0716,-17.551,0.239,124.749
classical,2,1,4,0.979,0.0889,0.0257,0.756,0.0891,-23.343,0.0404,83.192
classical,5,1,3,0.977,0.172,0.105,0.871,0.0987,-20.553,0.103,176.597
classical,0,1,4,0.973,0.352,0.0832,0.681,0.0716,-17.551,0.239,124.749
classical,0,1,4,0.973,0.352,0.0832,0.681,0.0716,-17.551,0.239,124.749
classical,10,1,4,0.977,0.393,0.237,0.906,0.0917,-20.161,0.323,99.004
classical,2,1,3,0.976,0.361,0.122,0.891,0.135,-25.11,0.105,130.453
